'2022/8/11/9:22:56',1.242,0.123,0.153,100.0
'2022/8/11/9:22:57',1.242,0.123,0.153,50.0
'2022/8/11/9:22:58',1.241,0.125,0.155,100.0
'2022/8/11/9:23:0',1.242,0.124,0.154,150.0
'2022/8/11/9:23:1',1.241,0.124,0.154,100.0
'2022/8/11/9:23:2',1.241,0.124,0.154,50.0
'2022/8/11/9:23:3',1.241,0.124,0.154,50.0
'2022/8/11/9:23:4',1.241,0.121,0.150,50.0
'2022/8/11/9:23:5',1.240,0.124,0.154,100.0
'2022/8/11/9:23:6',1.241,0.125,0.155,50.0
'2022/8/11/9:23:7',1.241,0.124,0.154,50.0
'2022/8/11/9:23:8',1.241,0.125,0.155,50.0
'2022/8/11/9:23:9',1.240,0.123,0.153,0.0
'2022/8/11/9:23:10',1.240,0.124,0.154,50.0
'2022/8/11/9:23:11',1.241,0.123,0.153,100.0
'2022/8/11/9:23:12',1.241,0.125,0.155,50.0
'2022/8/11/9:23:13',1.241,0.123,0.153,50.0
'2022/8/11/9:23:14',1.241,0.124,0.154,50.0
'2022/8/11/9:23:15',1.241,0.123,0.153,50.0
'2022/8/11/9:23:16',1.240,0.123,0.153,50.0
'2022/8/11/9:23:17',1.240,0.124,0.154,50.0
'2022/8/11/9:23:18',1.240,0.124,0.154,50.0
'2022/8/11/9:23:19',1.241,0.125,0.155,0.0
'2022/8/11/9:23:20',1.241,0.124,0.154,50.0
'2022/8/11/9:23:21',1.241,0.124,0.154,50.0
'2022/8/11/9:23:23',1.240,0.125,0.155,100.0
'2022/8/11/9:23:24',1.241,0.123,0.153,150.0
